condition;5FTHFabc;ACt;ATPase;COAabc;DADNabc;DCYTabc;DGSNabc;FAt;FORt;GLCpts;GLYCt;H2Ot;Ht;LIPTA;L_LACt2r;NACabc;NH3t;O2t;PIabc;RIBFLVabc;THMDabc;URAt2;trdoxt;trdrdt;AAabc;5FTHFPGS;ACKr;ACPPAT;ACPS;ACP_transl;ADK1;ADPT;AGPAT;APG3PAT;BPNT;CLPNS;CTPS2;CTPSDUMP;CYTK1;CYTK2;DADK;DADNK;DAGGALT;DAGPST;DASYN;DCMPDA;DCYTK;DGK1;DGSNK;DNAP;DRPA;ENO;FAKr;FBA;FMETTRS;FTHFCL;GALU;GAPD;GHMT;GK1;GLYK;GUAPRT;LDH_L;MTHFC;MTHFD;NADHK;NADS;NCTPPRT;NNATr;NOX;PAPA;PDH_E3;PDH_acald;PFK;PGI;PGK;PGK3;PGK4;PGM;PGMT;PGPP;PGSA;PPA;PPM2;PRPPS;PSSYN;PTAr;PUNP2;PUNP4;PYK2;PYK4;PYK5;PYK6;PYK7;PYK8;PdhC_transl;RBFK;RNAP;RPE;RPI;TALA;TKT1;TKT2;TMDK1;TMPK;TPI;TRDR;UDPG4E;UDPGALM;UMPK;UPPRT;dUTPase_transl;tRNAP;AATRS;Ribosome
1;1.43668e-05;7.29755e-14;0.768801;0.000161755;0.00374339;0.000206259;0.00397967;3.38306e-15;2.57879e-22;170.299;3.95138e-15;1.98651e-14;9.02746e-14;5.63044e-05;9.17835e-12;9.69632e-05;7.96922e-13;4.40096e-14;0.00130154;0.000113601;0.000153253;1.13861e-13;2.15789e-15;2.1332e-15;0.00236654;4.26151e-05;0.000188344;0.000179175;1.21798e-06;0.000356715;0.00342323;0.00113809;0.000400969;9.22965e-05;7.09728e-05;3.25082e-06;0.0220271;0.0488055;0.000205747;1.95693e-05;2.26488e-05;0.000196941;0.000155769;3.43597e-07;0.000169213;0.00419323;8.24439e-05;2.92089e-05;7.11992e-05;0.000177959;0.00126693;0.0386795;0.000230461;0.0393919;0.000124966;5.45134e-06;0.000151856;0.0635443;7.41674e-05;0.00272683;2.20389e-06;0.00215853;0.0313819;3.16064e-05;1.81572e-05;2.93666e-06;0.000581266;2.18963e-05;0.000197199;0.0015681;9.63878e-06;0.0169857;0.0169854;0.101982;0.0107383;0.026517;0.00175273;0.00585201;0.0271913;1.68263e-05;2.59436e-05;0.000207839;0.0017212;0.0122851;0.0578087;2.33935e-05;0.00021511;5.89759e-05;0.000220986;0.0158506;0.00105859;0.0004317;0.0822557;0.000141907;0.000423929;8.6571e-07;1.52154e-06;0.00125253;0.00135289;0.000558458;0.00361799;0.00495455;0.00206837;0.000110648;9.94823e-05;0.0860418;0.000258482;0.000443446;0.000967885;0.0063855;0.000880518;5.6083e-07;0.0050442;0.0907786;0.872997
2;1.80311e-05;9.13963e-14;0.957381;0.000203356;0.00466195;0.000257414;0.00495617;4.20297e-15;3.2251e-22;169.228;4.85469e-15;2.51953e-14;1.11967e-13;6.93892e-05;1.67121e-11;0.000121708;9.97111e-13;5.47971e-14;0.00162082;0.000143077;0.000191016;1.42327e-13;2.69805e-15;2.66853e-15;0.00294711;5.03689e-05;0.00022029;0.000209355;1.51866e-06;0.000398697;0.00396147;0.00132965;0.000485738;0.00010991;7.91223e-05;4.0648e-06;0.0259658;0.060711;0.000229782;2.42025e-05;2.82577e-05;0.000245542;0.000152709;3.16989e-07;0.000201055;0.00520589;0.000103118;3.70758e-05;8.89239e-05;0.000227797;0.00152995;0.0459537;0.000289486;0.0486188;0.000145763;6.85772e-06;0.000166821;0.0754657;9.27335e-05;0.00316297;2.76715e-06;0.00250439;0.0360761;3.9397e-05;2.26619e-05;3.45375e-06;0.000675459;2.69967e-05;0.000227927;0.00186676;1.21191e-05;0.0205225;0.0209195;0.122977;0.0123945;0.0303948;0.00194068;0.00686532;0.0322266;1.92987e-05;3.04023e-05;0.000232289;0.00215533;0.0152129;0.0680145;2.2602e-05;0.000279749;7.36315e-05;0.000275918;0.0184885;0.00118735;0.000539154;0.102615;0.000177372;0.000529684;9.72253e-07;2.03995e-06;0.00135512;0.00152332;0.000593707;0.00423134;0.00549356;0.00241712;0.000138173;0.000123811;0.106434;0.000295219;0.000499977;0.00108023;0.00731128;0.00103363;6.26563e-07;0.00541294;0.101543;0.96959
3;2.26224e-05;1.14403e-13;1.19195;0.000255635;0.00580467;0.000321174;0.00617097;5.21825e-15;4.03106e-22;168.071;5.95742e-15;3.19463e-14;1.39272e-13;8.56294e-05;1.62949e-11;0.000152707;1.24688e-12;6.81856e-14;0.002018;0.000180071;0.000238029;1.77806e-13;3.37148e-15;3.33628e-15;0.00366932;5.95581e-05;0.000258869;0.000246467;1.89317e-06;0.000446399;0.00461165;0.00155992;0.000587941;0.000131691;8.86571e-05;5.07988e-06;0.0306399;0.0754988;0.000256219;2.99325e-05;3.52439e-05;0.000306132;0.000201124;3.12607e-07;0.000238402;0.00646181;0.000128974;4.72082e-05;0.000111061;0.000296171;0.00185505;0.0547125;0.000363824;0.060114;0.000170068;8.62266e-06;0.000185226;0.0902309;0.000115873;0.00368864;3.47313e-06;0.00294227;0.0416426;4.90217e-05;2.83631e-05;4.06714e-06;0.000785021;3.29554e-05;0.000263231;0.00225088;1.52323e-05;0.0249131;0.025801;0.149213;0.0144456;0.0349944;0.00215373;0.00808923;0.0382692;2.23283e-05;3.59196e-05;0.000259441;0.00269871;0.0188472;0.0809093;2.94003e-05;0.000365306;9.19101e-05;0.000344495;0.021607;0.00132948;0.000673006;0.127952;0.000221568;0.000661466;1.09355e-06;2.71639e-06;0.00146755;0.00174417;0.000643471;0.0050154;0.00620442;0.0028574;0.000172481;0.000154071;0.131812;0.000343994;0.000563887;0.00123558;0.00840489;0.00121821;7.01002e-07;0.0058171;0.11362;1.07901
4;2.83673e-05;1.43099e-13;1.48342;0.000321277;0.00722481;0.000400555;0.00768066;6.47418e-15;5.03477e-22;166.805;7.30183e-15;4.04825e-14;1.73761e-13;0.00010576;1.56625e-11;0.000191487;1.55808e-12;8.47829e-14;0.00251158;0.000226416;0.000296496;2.21967e-13;4.20996e-15;4.16811e-15;0.00456682;7.05692e-05;0.000305551;0.000292389;2.35914e-06;0.000500687;0.0053986;0.00183914;0.000711117;0.000158727;9.98506e-05;6.34354e-06;0.03626;0.0938475;0.000285666;3.70134e-05;4.39358e-05;0.000381611;0.000228201;3.21243e-07;0.000282293;0.00801815;0.00016128;6.03523e-05;0.00013868;0.00038581;0.00225574;0.0652638;0.0004574;0.0743989;0.000198481;1.08342e-05;0.000207601;0.108411;0.000144673;0.00432237;4.35681e-06;0.00348223;0.0482335;6.09095e-05;3.55812e-05;4.78331e-06;0.000912859;3.99772e-05;0.000304068;0.00273879;1.91355e-05;0.030343;0.0318525;0.181842;0.0169691;0.0404634;0.00239544;0.00956831;0.0455249;2.60261e-05;4.26987e-05;0.000289864;0.00337934;0.0233565;0.0971479;3.29857e-05;0.000476831;0.000114691;0.000430017;0.0253355;0.00148788;0.000839603;0.159448;0.000276627;0.000825527;1.23184e-06;3.59347e-06;0.00159318;0.00202557;0.000711018;0.00600203;0.00712059;0.00340675;0.000215191;0.000191668;0.163328;0.000406964;0.000636305;0.00139666;0.00971213;0.00144234;7.85426e-07;0.0062696;0.127172;1.20316
5;3.55436e-05;1.78833e-13;1.84515;0.000403623;0.00898759;0.000499249;0.00955459;8.02592e-15;6.28284e-22;165.406;8.93833e-15;5.12709e-14;2.17426e-13;0.000130684;6.00371e-11;0.000239915;1.94523e-12;1.0533e-13;0.00312422;0.00028434;0.000369117;2.76851e-13;5.25234e-15;5.20273e-15;0.00568081;8.3758e-05;0.000362221;0.000349621;2.93819e-06;0.000562513;0.00635217;0.00217752;0.00085938;0.00019244;0.000113022;7.91344e-06;0.0429696;0.116586;0.000317901;4.57529e-05;5.47353e-05;0.000475557;0.000258244;3.39865e-07;0.000333381;0.0099446;0.000201597;7.76104e-05;0.000173098;0.00050192;0.00274851;0.0779792;0.000575097;0.0921159;0.00023169;1.36003e-05;0.000234505;0.130728;0.000180457;0.00508613;5.46091e-06;0.00414206;0.0560115;7.55767e-05;4.47486e-05;5.59478e-06;0.00106197;4.82317e-05;0.000351057;0.00335331;2.40274e-05;0.0370411;0.039347;0.22231;0.0200618;0.0469942;0.00267108;0.0113684;0.0542383;3.05232e-05;5.10765e-05;0.000323525;0.00423397;0.0289438;0.117474;3.69612e-05;0.000618012;0.000143057;0.000536578;0.02976;0.00166172;0.0010467;0.198538;0.000345165;0.00102951;1.38958e-06;4.72138e-06;0.00173218;0.00237926;0.000799169;0.00723177;0.00828078;0.00408793;0.000268283;0.000238331;0.202394;0.000486749;0.000717156;0.00157669;0.0112642;0.0017143;8.81209e-07;0.00677088;0.142364;1.34416
6;4.44899e-05;2.23241e-13;2.29335;0.000506812;0.0111722;0.000621752;0.0118769;9.9398e-15;7.8316e-22;163.841;1.09261e-14;6.4866e-14;2.72589e-13;0.000161495;2.57592e-11;0.000300284;2.42587e-12;1.30718e-13;0.00388344;0.000356593;0.00045917;3.44924e-13;6.54562e-15;6.48696e-15;0.0070613;9.99613e-05;0.000430991;0.000421494;3.65643e-06;0.00063245;0.00750015;0.00258017;0.00103758;0.000234695;0.00012831;9.85701e-06;0.0504825;0.144721;0.000347481;5.65249e-05;6.81294e-05;0.000592326;0.000284943;3.68459e-07;0.000386541;0.0123257;0.000251826;0.000100698;0.00021592;0.00065591;0.00335357;0.0933003;0.000722975;0.114044;0.000270349;1.7053e-05;0.000266071;0.158099;0.000224824;0.00600574;6.83757e-06;0.00493432;0.0651608;9.36482e-05;5.64364e-05;6.47888e-06;0.00123385;5.77343e-05;0.000402747;0.00411976;3.01593e-05;0.0452842;0.0486137;0.272392;0.0238505;0.0548583;0.00301043;0.0136;0.0646916;3.60038e-05;6.19836e-05;0.000355442;0.00531444;0.035855;0.142769;4.04178e-05;0.000790283;0.000178346;0.000669221;0.0346049;0.00182391;0.00130369;0.246934;0.000430343;0.00128268;1.56831e-06;6.16133e-06;0.00187617;0.00281994;0.000911187;0.00875445;0.00973307;0.00492962;0.000334157;0.000296154;0.250714;0.000586276;0.000790458;0.00173962;0.0129967;0.00203929;9.89069e-07;0.00728834;0.159222;1.50316
7;5.56244e-05;2.78296e-13;2.84776;0.000636447;0.0138752;0.000773556;0.0147503;1.23031e-14;4.56954e-16;162.09;1.33533e-14;8.22353e-14;3.4495e-13;0.000199529;4.06763e-11;0.000375372;3.02137e-12;1.62089e-13;0.00482283;0.000446581;0.000570661;4.29211e-13;8.14732e-15;8.07788e-15;0.00876938;0.000119748;0.000514336;0.000515532;4.54618e-06;0.000710105;0.00887572;0.00304953;0.00124968;0.000289249;0.000145937;1.22469e-05;0.0568765;0.179467;0.000339783;6.97354e-05;8.47104e-05;0.000737233;0.000274597;4.17178e-07;0.000412305;0.0152597;0.000314267;0.000133331;0.000269063;0.000897466;0.00409611;0.111687;0.000907761;0.141125;0.000314901;2.13514e-05;0.00030116;0.191889;0.000279723;0.00715437;8.54504e-06;0.00587114;0.0758513;0.000115853;7.15296e-05;7.372e-06;0.0014269;6.80934e-05;0.000455565;0.00508055;3.79396e-05;0.0554356;0.0600482;0.334313;0.0285551;0.0644272;0.00353864;0.0163796;0.0771672;4.2786e-05;8.25585e-05;0.000361912;0.00670729;0.0443942;0.17446;3.87539e-05;0.000995347;0.000222306;0.000834559;0.0383017;0.00183745;0.00162197;0.306725;0.000536008;0.00159624;1.76719e-06;7.95007e-06;0.00197441;0.00337167;0.00105786;0.0106328;0.011556;0.00596841;0.000415702;0.00036768;0.310361;0.000710398;0.000794861;0.00165841;0.0146412;0.00242257;1.10805e-06;0.00763004;0.177441;1.67945
8;6.94367e-05;3.46263e-13;3.52964;0.000798246;0.0172004;0.000960788;0.0182851;1.51986e-14;1.2051e-15;160.055;1.62769e-14;1.03741e-13;4.35353e-13;0.000242018;4.75656e-11;0.00046858;3.75577e-12;2.00593e-13;0.00597843;0.000558708;0.000707957;5.33055e-13;1.01213e-14;1.00395e-14;0.0108705;0.000144994;0.000613366;0.000643722;5.64248e-06;0.000799437;0.0104431;0.00363758;0.00150288;0.000363541;0.000164104;1.49126e-05;0.0658486;0.222159;2.01598e-05;8.58506e-05;0.00010512;0.000915241;0.000278228;4.86485e-07;0.000375184;0.0188614;0.000391222;0.000181796;0.000334341;0.00116786;0.00500759;0.133854;0.00113836;0.174441;0.000366959;2.66918e-05;0.000346798;0.233461;0.000347317;0.00851884;1.06487e-05;0.0070365;0.0879705;0.000143089;9.09338e-05;8.2548e-06;0.00165597;8.12969e-05;0.000522254;0.00626245;4.82581e-05;0.0677532;0.0740661;0.409754;0.0342514;0.0754923;0.00409815;0.0195456;0.0922042;5.0913e-05;0.000158283;0.000241142;0.00854658;0.0549399;0.213507;3.9232e-05;0.00123348;0.000276837;0.00103956;0.0439121;0.00116128;0.00201592;0.380541;0.000667217;0.00198413;1.99647e-06;1.01304e-05;0.00187325;0.00403817;0.00123666;0.0129288;0.013762;0.00722004;0.000516058;0.000455594;0.38375;0.000863907;0.00080159;0.00177025;0.0168986;0.00290163;1.24491e-06;0.00720514;0.197741;1.88166
9;8.65845e-05;4.29906e-13;4.36658;0.000999938;0.0212827;0.00119126;0.0226248;1.87355e-14;2.29547e-15;157.711;1.97843e-14;1.30357e-13;5.48398e-13;0.000281012;5.75679e-11;0.000584045;4.65859e-12;2.47707e-13;0.0073972;0.000698107;0.000876691;6.60586e-13;1.25464e-14;1.24505e-14;0.0134497;0.000172345;0.000735237;0.000812705;6.98941e-06;0.00090298;0.0125387;0.00435309;0.00180467;0.000462512;0.000139144;1.80803e-05;0.0776623;0.274508;1.65577e-05;0.000105415;0.000130177;0.00113297;0.000304229;5.71832e-07;0.000463335;0.0232636;0.000485728;0.000263759;0.000414171;0.00140453;0.00612971;0.160479;0.00142615;0.215329;0.000428181;3.33102e-05;0.000395746;0.28501;0.000430275;0.0100988;1.32251e-05;0.00845493;0.102864;0.000176399;0.000116217;9.04167e-06;0.00192236;9.72161e-05;0.000597998;0.00770677;6.21248e-05;0.0827904;0.0912122;0.502182;0.0409334;0.0886713;0.00461104;0.0232627;0.110266;6.02567e-05;0.000181026;0.000274117;0.0108981;0.0679377;0.261605;4.30404e-05;0.00151338;0.000344183;0.00129257;0.0511707;0.00119669;0.00250252;0.471315;0.000830507;0.00246287;2.26238e-06;1.27041e-05;0.0020438;0.00485924;0.00146018;0.0157503;0.0164908;0.00875003;0.000639171;0.000563429;0.473848;0.00104845;0.000872758;0.00192304;0.019642;0.00348453;1.40314e-06;0.00782772;0.221056;2.11558
10;0.000107726;5.32394e-13;5.38997;0.00125031;0.026276;0.00147368;0.0279326;2.30424e-14;3.81872e-15;155.014;2.39805e-14;1.63465e-13;6.90707e-13;0.000372675;6.92181e-11;0.000726209;5.76377e-12;3.05152e-13;0.00913261;0.000869959;0.00108323;8.1656e-13;1.55132e-14;1.54014e-14;0.0166044;0.000204303;0.000884009;0.00101813;8.63745e-06;0.00102117;0.014908;0.0052353;0.00216424;0.000585737;0.000219721;2.19804e-05;0.0921386;0.338451;1.70299e-05;0.000129094;0.000160817;0.00139854;0.000321093;6.77333e-07;0.000574608;0.0286285;0.000601409;0.000423439;0.000511849;0.00171358;0.00749978;0.192331;0.00178408;0.265298;0.000499402;4.14643e-05;0.000456355;0.348167;0.000531669;0.0119997;1.63669e-05;0.0101972;0.120189;0.000216986;0.000149917;9.60839e-06;0.00223835;0.000116699;0.000688625;0.00947669;8.03927e-05;0.100995;0.11209;0.615099;0.0490548;0.10445;0.005193;0.0277244;0.131818;7.16348e-05;0.000208401;0.000312816;0.0137961;0.0838574;0.320546;4.56876e-05;0.00184679;0.000426883;0.00160357;0.0599252;0.00124271;0.00309984;0.582433;0.00103218;0.00305025;2.5661e-06;1.57112e-05;0.00224701;0.00586345;0.0017356;0.0191949;0.0198383;0.0106148;0.000789603;0.000695224;0.58393;0.00127276;0.000937511;0.00206502;0.0229742;0.00420124;1.58302e-06;0.00857362;0.247028;2.38198
11;0.000133636;6.57251e-13;6.63408;0.0015591;0.0323479;0.00181772;0.0343872;2.82588e-14;5.90606e-15;151.897;2.89696e-14;2.04437e-13;8.68349e-13;0.000456619;1.21468e-10;0.00090016;7.10886e-12;3.74804e-13;0.011243;0.00108041;0.00133456;1.00622e-12;1.91219e-14;1.89924e-14;0.0204404;0.000241607;0.00106422;0.00126118;1.06423e-05;0.00115578;0.0177837;0.00631255;0.00259121;0.000736381;0.000254105;2.67335e-05;0.110026;0.416107;1.83666e-05;0.000157605;0.000198072;0.00172072;0.000343091;8.05731e-07;0.00071633;0.0351311;0.000742216;0.000628948;0.000631663;0.0020954;0.00916036;0.23028;0.002227;0.326;0.000582017;5.14493e-05;0.00052955;0.424775;0.000654888;0.0142776;2.01791e-05;0.0123175;0.140295;0.000266201;0.000196287;9.81361e-06;0.00260871;0.000140338;0.00079521;0.0116311;0.000104326;0.123097;0.137292;0.752151;0.0588437;0.123218;0.00585198;0.033062;0.157436;8.53479e-05;0.000240351;0.000358033;0.017311;0.103225;0.392197;4.91491e-05;0.00224357;0.000527662;0.00198419;0.0706861;0.00129957;0.00382886;0.71782;0.00128009;0.00376678;2.91229e-06;1.92127e-05;0.0024892;0.00707954;0.0020693;0.0233686;0.0239001;0.0128712;0.000972371;0.000855376;0.717632;0.0015435;0.00102037;0.00224735;0.0270307;0.00507423;1.78714e-06;0.00946598;0.275867;2.6846
12;0.000165163;8.08305e-13;8.13603;0.00193699;0.0396805;0.00223385;0.0421817;3.45367e-14;8.70381e-15;148.29;3.48598e-14;2.54817e-13;1.0883e-12;0.000522072;3.85501e-11;0.00111142;8.73461e-12;4.587e-13;0.0137917;0.00133608;0.00163827;1.23525e-12;2.34812e-14;2.33319e-14;0.0250727;0.000284989;0.00128099;0.00154972;1.30644e-05;0.00130854;0.0212571;0.00761803;0.00309505;0.000920896;0.000295943;3.2478e-05;0.131967;0.509772;2.01825e-05;0.000191703;0.000243057;0.00210899;0.000372676;9.60476e-07;0.000897953;0.0429603;0.000912424;0.000786872;0.000777442;0.00255172;0.0111577;0.275235;0.00277106;0.39923;0.000677452;6.35861e-05;0.000617072;0.51688;0.000803623;0.0169897;2.47745e-05;0.0148787;0.163536;0.000325503;0.000264109;9.47865e-06;0.00304386;0.000168787;0.000920836;0.0142348;0.000135575;0.149418;0.167884;0.91733;0.0705556;0.14541;0.00659493;0.0394091;0.187713;0.00010174;0.000274781;0.000409545;0.0215442;0.126614;0.47861;5.37598e-05;0.00271298;0.0006495;0.00244614;0.0839014;0.00136861;0.00471262;0.881569;0.00158322;0.00463495;3.30552e-06;2.32553e-05;0.00277466;0.00854017;0.00246903;0.028389;0.0287866;0.0155822;0.00119289;0.00104864;0.878903;0.00186837;0.00112654;0.00248348;0.0319301;0.00612955;2.01798e-06;0.0105204;0.307734;3.02706
13;0.000203202;9.8953e-13;9.93424;0.00239548;0.0484622;0.00273295;0.0515166;4.2034e-14;1.23802e-14;144.121;4.17559e-14;3.16281e-13;1.3581e-12;0.000682465;1.19394e-10;0.00136574;1.06832e-11;5.58944e-13;0.0168441;0.00164382;0.00200222;1.50954e-12;2.87032e-14;2.85326e-14;0.0306202;0.000335228;0.00153948;0.00189209;1.59664e-05;0.00148104;0.0253594;0.00918367;0.00368535;0.00114663;0.000344549;3.93567e-05;0.158505;0.62182;2.23901e-05;0.000232157;0.000296928;0.00257319;0.000411451;1.1455e-06;0.00113212;0.0523103;0.00111648;0.000956494;0.000952676;0.00308655;0.0135391;0.328103;0.0034333;0.486842;0.000787085;7.82101e-05;0.000720632;0.626578;0.000981765;0.0201998;3.02702e-05;0.0179416;0.190247;0.0003964;0.000376671;8.39859e-06;0.00354926;0.000202612;0.00106726;0.0173585;0.000176232;0.180867;0.204239;1.11478;0.0844582;0.171447;0.00743308;0.0468777;0.223247;0.000121167;0.00031623;0.000470491;0.0265995;0.154611;0.581935;5.97452e-05;0.00326588;0.000795501;0.00300092;0.0999885;0.00145231;0.00577521;1.07786;0.00195145;0.00567824;3.74995e-06;2.78763e-05;0.00310766;0.0102795;0.00294319;0.0343771;0.0346136;0.0188131;0.00145677;0.00127995;1.07182;0.0022574;0.00125855;0.00278155;0.0377958;0.00739239;2.27777e-06;0.0117527;0.342746;3.41261
14;0.00024861;1.20479e-12;12.0658;0.00294581;0.0588752;0.00332552;0.0625856;5.09045e-14;1.71162e-14;139.324;4.97506e-14;3.90577e-13;1.68567e-12;0.000832124;1.42281e-10;0.00166869;1.29956e-11;6.77577e-13;0.0204638;0.00201012;0.00243399;1.83477e-12;3.4897e-14;3.47034e-14;0.0371981;0.000393704;0.00184486;0.00229511;1.94092e-05;0.0016746;0.030182;0.0110409;0.00437105;0.0014209;0.000401139;4.75083e-05;0.190143;0.754539;2.49863e-05;0.000279685;0.000360802;0.00312288;0.000460661;1.36521e-06;0.0014339;0.0633681;0.0013587;0.00115556;0.0011612;0.00370457;0.0163496;0.389715;0.00423037;0.590626;0.000912147;9.56474e-05;0.000841796;0.755923;0.00119341;0.0239674;3.67796e-05;0.0215665;0.220713;0.000480366;0.000627839;6.38189e-06;0.00413295;0.000242317;0.00123664;0.0210769;0.000228847;0.218053;0.247235;1.34851;0.100809;0.201726;0.0083765;0.0555734;0.264576;0.000143969;0.000372745;0.0005457;0.0325771;0.187784;0.704237;6.72804e-05;0.00391197;0.000968702;0.00366039;0.119336;0.00155125;0.00704026;1.31085;0.00239531;0.00691966;4.24913e-06;3.30922e-05;0.00349096;0.0123303;0.00349975;0.0414492;0.0414933;0.022627;0.0017694;0.00155405;1.30031;0.00273229;0.00141815;0.00314761;0.0447363;0.00888765;2.56836e-06;0.0131732;0.380944;3.84395
15;0.000302066;1.45742e-12;14.5626;0.00359817;0.071077;0.00402057;0.075556;6.12831e-14;2.30774e-14;133.839;5.89148e-14;4.79347e-13;2.07845e-12;0.00099197;1.68969e-10;0.002025;1.57072e-11;8.16373e-13;0.0247055;0.00244038;0.00294014;2.21586e-12;4.21564e-14;4.19389e-14;0.0449059;0.000463053;0.00220119;0.00276522;2.34452e-05;0.00189025;0.0357823;0.0132168;0.00515991;0.00175127;0.000466147;5.70582e-05;0.227301;0.909899;2.79931e-05;0.000334893;0.000435646;0.00376628;0.000521201;1.62405e-06;0.00181931;0.0762963;0.0016428;0.00138811;0.00140644;0.00441033;0.0196285;0.460716;0.00517636;0.71213;0.0010536;0.000116179;0.000981821;0.907061;0.00144411;0.0283444;4.44012e-05;0.0258052;0.255301;0.000578918;0.00154303;3.93326e-06;0.00480489;0.000288361;0.00143136;0.0255258;0.000296198;0.261487;0.297639;1.62196;0.119825;0.236495;0.00943759;0.0655796;0.312106;0.00017043;0.000443702;0.000636232;0.0395663;0.226627;0.847274;7.64711e-05;0.00465952;0.00117177;0.0044352;0.142264;0.00166371;0.00852877;1.58414;0.00292533;0.00837955;4.80575e-06;3.88913e-05;0.00392574;0.01472;0.00414484;0.0497048;0.049516;0.0270769;0.00213541;0.00187504;1.56777;0.00349263;0.00160629;0.00358562;0.0528415;0.0106369;2.89117e-06;0.0147862;0.422318;4.32302
16;0.000363947;1.74975e-12;17.447;0.00435904;0.0851767;0.00482419;0.0905438;7.32677e-14;3.03891e-14;127.626;6.93005e-14;5.83645e-13;2.5413e-12;0.00118688;2.00454e-10;0.00243767;1.88422e-11;9.76594e-13;0.0296072;0.00293753;0.00352515;2.65617e-12;5.05466e-14;5.03045e-14;0.0538124;0.000545335;0.00261257;0.00331128;2.81104e-05;0.00212867;0.0421877;0.0157323;0.00605903;0.00214661;0.00053965;6.81006e-05;0.270277;1.08928;3.14261e-05;0.000398206;0.000522124;0.00450882;0.000593435;1.92562e-06;0.0022978;0.0912138;0.00197123;0.00165678;0.0016906;0.00521587;0.023409;0.541416;0.00627881;0.852454;0.00121201;0.000139986;0.0011418;1.08329;0.00173883;0.0333742;5.31977e-05;0.0306987;0.294508;0.000693595;0.00226164;3.93124e-06;0.00559843;0.000341599;0.00165943;0.0309655;0.000380385;0.312221;0.355927;1.93746;0.141663;0.275952;0.0106289;0.0769361;0.366007;0.000200798;0.000520025;0.000735478;0.0476308;0.2715;1.01221;8.73002e-05;0.00551508;0.00140655;0.0053326;0.168955;0.00177807;0.010256;1.90032;0.00355091;0.0100726;5.42156e-06;4.52063e-05;0.00440994;0.0174663;0.00488124;0.0592157;0.0587231;0.0321978;0.00255795;0.00224574;1.87659;0.00445199;0.00182314;0.00409649;0.0621699;0.0126575;3.24721e-06;0.0165837;0.466827;4.85095
